answer,question
Bizzat,"Doğrudan, aracı kullanmadan, şahsen"
Filika,Gemilerde bulunan acil durum sandalı
Kurnaz,"Açıkgözlü, istediğini bir şekilde elde eden kimse"
Haşere,Her çeşit börtü böcek
Vardar,"Balkan türküsü, __ Ovası"
Lizbon,Portekiz'in başkenti
Nemrut,Adıyaman’da dev heykellere ev sahipliği yapan dağ
Erişte,Ev makarnası
Mutfak,Yemek yapılan oda
Acente,Seyahat veya sigorta işi yapan ofislere denir
Alt baldır,Bacağın dizden ayak bileğine kadar olan bölümü
Starbucks,Self servis kahve satışı yapan mağaza zinciri
Targaryen,Taht Oyunları dizisinin ejderha sembollü hanesi
Proboscis,Sarkık burnu olan bir maymun türü
Ses tonu,Duygulara göre hızla değişebilen konuşma unsuru
Emisyon,Egzoz gazında ölçülen değer; salınım
Trampet,İki değnekle çalınan küçük davul
Mübaşir,Duruşmaya girecek kimseleri çağıran kişi
Yarışçı,Sporda birbirini geçmeye çalışanlardan her biri
Sakallı,Peyniri saçak saçak görünen mini sandviçe denir
Ekonomi,Uçaktaki en ucuz koltuk sınıfı
Kallavi,Osmanlı'da sadrazamların taktığı bir tür kavuk
Alabora,"Yılan Hikayesi'nin oyuncusu, Mehmet Ali __"
Edremit,Kazdağları'nın eteklerindeki Balıkesir ilçesi
Karizma,Bir kişideki hayranlık uyandırıcı etkileyicilik
Kırkbayır,Geviş getirenlerin üçüncü mide bölümü
Overlok,Halıların kenarına yapılan zikzaklı dikiş
Harbiye,Subay yetiştiren yüksek okul
Ihracat,Yurt dışına ürün ya da hizmet satma
Yargılama,Mahkemelerin yaptığı iş
Aktarmalı,Direkt uçuş olmayan yere böyle gidilir
Külyutmaz,Hababam Sınıfı'nın sıra üstünde gezen hocası
Karantina,Bulaşıcı hastalığı kontrol altında tutma
Kış uykusu,2014 yapımı Nuri Bilge Ceylan filmi
Chevrolet,Corvette model spor otomobili üreten firma
Buldumcuk,Sonradan görme kişiler için kullanılan bir söz
Başaktris,Sinema ve tiyatroda ana roldeki kadın oyuncu
Narenciye,Turunçgillere verilen diğer ad
Kambriyen,Dünya'da canlı türlerinin en hızlı arttığı dönem
Gülböreği,Adını bir çiçekten alan fırınlanmış hamur işi
Yardımsız,Herhangi bir destek almadan
Simurg,Zümrüdü Anka kuşunun diğer adı
Olağan,"1995 yapımı Bryan Singer filmi, __ Şüpheliler"
Yoğurt,Mayalı ve kıvamlı bir süt ürünü
Zeplin,Hava gemisi
Jaluzi,Şerit perde
Sutopu,Maçları havuzda yapılan olimpik bir spor
Ponpon,Tekstil ürünlerinde kullanılan top şeklinde püskül
Italya,Haritada çizmeye benzeyen Akdeniz ülkesi
Siftah,Esnaf için günün ilk kazancı
Reklam,Tanıtım ve pazarlama amaçlı yapılan çalışma
Parodi,Ciddi bir eseri tiye alan kısa güldürü
Edirne,1365 ile 1453 yılları arasındaki Osmanlı başkenti
Tasdik,"Bir şeyin doğruluğunu onaylama, kabul etme"
Müstensih,El yazması olan kitapları çoğaltan kişi
Tatar çölü,Kahramanı Giovanni Drogo olan Dino Buzatti eseri
Salyangoz,Nemli ortamlarda yaşayan kabuklu yumuşakça
Mont blanc,"Anlamı Beyaz Dağ olan, Avrupa'nın en yüksek dağı"
Yatırımcı,Para kazanmak amacıyla bir işe para koyan kimse
Yaz tatili,MFÖ'ye göre paranın katili
Istirahat,Güç kazanmak için dinlenme
Isparta,Türkiye'de gülü ile meşhur olan il
Sinüzit,Buruna açılan hava boşluklarında iltihaplanma
Telgraf,Kıtalar arası iletişimi ilk kez mümkün kılan icat
Nebahat,"Metin Erksan filmi, Şoför __"
Otograf,Bir yazarın kendi el yazısı
Iskarta,Değerini yitirmiş mal
Dinamik,"Yaşı kaç olursa olsun enerjik, hareketli kişi"
Isparta,Gülüyle meşhur olan il
Koruluk,Ağaçların sık olarak bulunduğu alan
Üsküdar,Atı alanın geçtiği İstanbul ilçesi
Avantaj,Bir durumun faydalı veya olumlu olabilecek yönü
Bulaşıcı,Başkalarına geçebilen hastalık türü
Üstgeçit,Yolun üzerinden geçen merdivenli yaya yolu
Gerinmek,Genelde uyanınca yapılan eylem
Istihdam,Bir kişiye iş sağlama
Saplantı,Takıntı haline gelmiş düşünce
Batisfer,Denizlerin derin noktalarını inceleyen çelik küre
Dizlik,Motorcuların bacaklarına taktığı koruyucu
Aleksi,Okuma yetisini kaybetme hastalığı
Panzer,"Zırhlı, büyük polis aracı"
Hamile,Anne adayı
Bangui,Orta Afrika Cumhuriyeti'nin başkenti
Alpaka,"Yününden faydalanılan, lama benzeri bir deve türü"
Şebnem,"Kelimeler Yetse albümünün sahibi, __ Ferah"
Revani,İrmik ve yoğurtla yapılıp şerbetlenen bir tatlı
Ruhsat,Bir iş yerinin izin belgesi
Kerime,Eski dilde kız evlat için kullanılan kelime
Kaynak,Bir suyun çıktığı yer
Levazım,Bir iş için gerekli araç ve gereçler
Fantezi,Sonsuz ve sınırsız hayal
Ortaçağ,"Şövalyelerin, derebeyliklerin dönemi"
Tecrübe,Deneyim
Emprime,Değişik renklerle desenlenmiş kumaş
Kocamak,Yaşlanmak
Karınca,Masalda tüm yazı çalışarak geçiren hayvan
Sosyete,"Gülse Birsel dizisi, Jet __"
Erguvan,İlkbaharda İstanbul Boğazı'nı süsleyen ağaç
Fethiye,Ölüdeniz bu ilçededir
Şehadet,Tanıklık
Mesnevi,Divan edebiyatının uzun nazım biçimlerinden biri
Bilardo,Masadaki toplara isteka ile vurularak oynanan oyun
Vitamin,"A, B, B12 gibi türleri olan organik bileşik"
Fransızca,İsviçre'nin dört resmi dilinden biri
Ilişki,İki ya da daha çok şey arasındaki bağlantı
Küesal,G. Amerika'ya özgü gözalıcı bir kuş
Terkos,İstanbul'un en önemli çeşme suyu kaynağı olan göl
Tellal,Bir duyuruyu sokaklarda bağırarak okuyan kimse
Mentol,"Naneden elde edilen, kokusu güçlü bir alkol"
Unesco,Birleşmiş Milletler'in eğitimle ilgili alt örgütü
Lokavt,Toplu işten çıkarma
Pergel,Daire ya da çember çiziminde kullanılan alet
Briket,Linyit tozundan yapılan tuğla
Papara,Kıyma ve bayat ekmekle yapılan mantı benzeri yemek
Ihtiva,"İçerme, içinde bulundurma"
Hafize,"Hababam Sınıfı'nın kadın karakteri, __ Ana"
Ebonit,Kauçuk ve kükürdün işlenmesiyle oluşan plastik
Psişik,Ruh ve ruhsal durumla ilgili
Korkak,"Cesareti olmayan, ödlek"
Angora,Ankara keçisinin kılından yapılan dokuma giysi
Kızılcık,"Adını renginden alan, şerbeti meşhur bir yemiş"
Hissiyat,Duygular; kişinin duyularla algıladığı durumlar
Triatlon,"Yüzme, koşu, bisikleti kapsayan atletizm dalı"
Yapmacık,İki yüzlü insanın gülüşü böyledir
Vidanjör,Lağım boşaltma aracı
Pantheon,Antik Roma'da tüm tanrılar için yapılmış tapınak
Fazıl say,Dünyaca ünlü Türk piyanist ve besteci
Çalışkan,Okullarda inek denilen öğrenci türü
Personel,Şirket çalışanı
Sevkiyat,Askeri gereçlerin bir yerden diğerine taşınması
Diyagram,"Bir olayın değişimini, gelişimini gösteren grafik"
Anoreksi,Halk arasında bu hastalığa iştahsızlık denir
Doberman,Üreticisinin adını taşıyan tek köpek ırkı
Yörünge,Bir gök cisminin uzayda izlediği yol
Zaplamak,Kanallar arasında çılgınca dolaşmak
Düdüklü,"Basınca dayanıklı, ses çıkaran tencere çeşidi"
Tommiks,1955'ten beri Türkiye'de yayınlanan çizgi roman
Moskova,Kremlin Sarayı'nın bulunduğu şehir
Fakülte,Lisans seviyesinde eğitim verilen akademik kurum
Stajyer,Mesleği öğrenmek için çalışan öğrenci
Darvaza,Cehennem Kapısı olarak bilinen kraterin adı
Krampon,Futbolcu ayakkabısı
Hepatit,"Karaciğer iltihabı, sarılık"
Riyakar,Özü sözü bir olmayan kişi
Zor ölüm,Bruce Willis'in John McClane rolünde olduğu film
Kafdağı,Masallarda adı geçen çok uzaklardaki ulaşılmaz yer
Orta çizgi,Futbol sahasını ikiye bölen hat
Görümcesi,"Damadın kız kardeşi, gelinin __"
Elde etmek,Birine ya da birşeye sahip olmak; ele geçirmek
Paramedik,Acil tıp teknisyeni
Ilk öpücük,Bir Adam Sandler komedisinin Türk versiyonu
Yüzükoyun,Sırtüstü veya yan yatamayanlar bu konumda uyur
Dile kolay,"Anlatılması basit, yapılması zor iş"
Esperanto,Leh bir doktorun yarattığı yapay iletişim dili
Imparator,Kralların bağlı olduğu üst hükümdar
Etli pilav,Protein katkılı pirinç yemeği
Gerçek,"Doğru olan, yalansız"
Hipnoz,"Yapay uyku, uyku-uyanıklık arası olma durumu"
Süvari,Atlı asker
Numara,"Sayısal kimlik, rakamlar bütünü"
Kontes,"Hizmet ettiren, rahatına düşkün kadın lakabı"
Gofret,"Çok katlı, kremalı çıtır atıştırmalık"
Geveze,Çok konuşan kişi
Kumsal,"Kayalık olmayan deniz kenarı, plaj"
Açelya,Söylenemeyen aşkı ifade eden çiçek
Beddua,"Ah alan biri için dilenen, istenen kötülükler"
Fanila,Daha çok kışın giyilen bir iç çamaşırı
Acı acı,Hüzün dolu gülüş biçimi
Statik,"Durgun, hareketsiz anlamındaki bilimsel kelime"
Kutsal,"2007 yapımı Şafak Sezer filmi, __ Damacana"
Çimdik,Mutfakta en küçük ölçü birimi
Seviye,"Bir şeyin derecesini, aşamasını belirtir"
Arktik,En soğuk okyanus
Ilyada,Homeros'un Truva Savaşı'nı anlatan epik şiiri
Kronik,Olayların sırası ile yazıldığı tarih
Kepenk,Pencerelerin önündeki güvenlik kapağı
Boksör,Yumruk sporcusu
Emanet,Muhafaza etmesi için birine bırakılan eşya
Ekstra,Var olandan daha fazla
Melendiz,Niğde'de yer alan volkanik dağ
Devrimci,"İnkılap için çalışan, reformist"
Selpak,En ünlü kağıt mendil markası
Küçükken,Yılanın başı __ ezilir
Mıknatıs,Demiri çeken madde
Blokflüt,Müzik derslerinde çok sık kullanılan bir enstrüman
Atlantıs,Efsanelere konu olmuş batık kıta
Çömelmek,Dizleri kırarak yere doğru oturmak
Endorfin,Halk arasında mutluluk hormonu diye bilinen hormon
Tretuvar,Yayalar için yapılmış yüksek kaldırım
Depolama,"Bulut __, Sanal havuzlarda veri birikmesi"
Lütufkar,"İyilik yapmayı seven, kibar"
Yenenler,ESY Show'da Y harfinin açılımı
Roberts,"Julia __, büyük gülümsemesiyle ünlü aktris"
Ilanıaşk,Birisine duyulan sevdayı dile getirme
Istikbal,Kayserili bir mobilya üreticisi ve markası
Başlama,Bir maçta topa ilk vuruş
Celsıus,Türkiye'de bu sıcaklık birimi kullanılır
Metelik,Parası kalmayan buna kurşun atar
Hamster,Türkçe adı heybeli sıçan olan çark cambazı
Sakızlı,Bir muhallebi çeşidi
Usulsüz,Kanunlara ya da kurallara aykırı
Mücahit,Sovyetler'e karşı savaşan düzensiz Afgan askeri
Çaçaron,Karşısındakine konuşma fırsatı vermeden konuşan
Neonazi,Günümüzde Hitler sempatizanlarına verilen ad
Halinden,"Tok, açın __ anlamaz"
Güle güle,Gidene söylenen ikileme
Muhittin,GORA'da Arif'in uzaydan aradığı arkadaşı
Dağıstan,Başkenti Mahaçkale olan Kafkasya özerk cumhuriyeti
Ön libero,Futbolda defansif orta saha oyuncusu
Çökertme,Bodrum'a özgü bir tür kebap; türküsü de vardır
Bilsem ki,Serdar Ortaç'ın 2000 çıkışlı hit olmuş şarkısı
Sahtekar,"Yalan söyleyen, hile yapan kişi anlamında söz"
Panzehir,Yılan sokmalarına karşı kullanılan ilaç
Piyanist,Adrien Brody'nin 2002 yapımı ünlü filmi
Değirmen,Eskiden tahıl öğütme işlerinin yapıldığı yapı
Hissedar,Bir malın ya da şirketin bir kısmının sahibi
Huzurevi,Yaşlıların bakıldığı ve barındığı kurum
Düzlük,Ağaçsız ve yamaçsız geniş alan; ova
Beberuhi,"Orta oyununda kısa boylu, bitirim karakter"
Puding,"Kakaolu, muzlu vb. yapılabilen sütlü tatlı"
Meymenet,Uğurlu ve iyi nitelik
Karamsar,"Gelecekten umutlu olmayan, kötümser"
Dereotu,Baklanın üzerine kıyılmış olarak serpilen yeşillik
Örümcek,Ağ örebilen eklemli hayvan
Origami,Bir kağıt katlama sanatı
Çekecek,Ayakkabı giymeyi kolaylaştıran icat
Bilardo,Semih Saygıner bu dalda tanınan bir sporcudur
Kırlent,Küçük bir tür süs yastığı
Jonglör,Havaya attığı topları çeviren sirk sanatçısı
Erozyon,Akarsu veya rüzgar nedeniyle topraktaki aşınma
Ayranım,Kimse __ ekşi demez
Emirgan,Korusunda Lale Festivali yapılan Sarıyer semti
Mengene,Nesneleri sıkıştırmaya yarayan araç
Kayseri,Pastırmasıyla meşhur İç Anadolu şehri
Shelley,"Frankenştayn kitabının yazarı, Mary __"
Diploma,Okul bitince verilen resmi belge
Tel örgü,Dış duvarların üstüne çekilen ek güvenlik katmanı
Bargah,Selçuklularda izinle girilen hükümdar sarayı
Zabıta,Belediye kolluk görevlisi
Batman,Türkiye'de petrol çıkarılan il
Şömine,"Önü açık, duvara gömülü soba"
Carlos,"Brezilyalı futbolcu, Roberto __"
Tahvil,Şirketlerin de çıkardığı bir tür borçlanma aracı
Şövale,Resim yaparken kullanılan sehpa
Adliye,İçinde mahkemeler bulunan bina
Rezerv,Bir havzadaki henüz işletilmemiş maden miktarı
Dublaj,Filmi farklı bir dilde seslendirme
Boynuz,Bazı hayvanların başında bulunan korunma organı
Numara,"Argoda hile, dalavere"
Mecnun,Leyla’nın sevgilisi
Akıtma,Krep
Hoparlör,Dışarıya ses vermeye yarayan elektronik alet
Bulaşıcı,Başkasına geçebilen hastalık tipi
Çifte taç,Aşağı ve Yukarı Mısır'ın birliğininin sembolü
Limonata,Ekşiyi ferahlığa çeviren sarı renkli içecek
Spagetti,İnce uzun makarna çeşidi
Bileklik,Kola takılan bir aksesuar
Sonradan,Bilahare
Muhabbet,"Değirmen iki taştan, __ iki baştan"
Müzikhol,Yemeli içmeli bir tür eğlence mekanı
Kupa kızı,"Teoman'a göre, sinek valesinin sevgilisi"
Sonbahar,23 Eylül'ün başlangıç kabul edildiği mevsim
Büyükada,Yörükali Plajı'nın bulunduğu kara parçası
Hipodrom,At yarışı yapılan yer
Porsiyon,Yemeğin bir kişi için belirlenen miktarı
Ara güler,Pablo Picasso'yu çekmiş olan fotoğraf sanatçımız
Nagazaki,Dünyada atom bombası atılmış son şehir
Yeşilçam,Eski Türk sineması için kullanılan bir kalıp
Yaz okulu,Kışın verilemeyen dersler burada tekrarlanır
Sirküler,Gelir İdaresi'nin konulara açıklık getiren belgesi
Lunapark,Atlı karınca ve dönme dolap olan mekan
Şansölye,Almanya'da hükümet başkanı
Artık yıl,Şubat ayının 29 gün olduğu senelerin genel adı
Kulvar,Pistte her koşucuya ayrılan hat
Toplam,Birden fazla şeyin sayısal bütünü
Budama,"Ağaç, asma gibi bitkilerin dallarını kesme"
Safari,Vahşi doğa gezintisi
Merkür,Güneş'e en yakın konumdaki gezegen
Tedavi,Hastalığı iyileştirmek için uygulanan işlem
Şofben,Sıcak su sağlayan gazlı ya da elektrikli alet
Abidin,"Türk resminin öncülerinden, __ Dino"
Balina,Dev deniz memelisi
Sözcük,Seslerin birleşerek oluşturdukları anlam; kelime
Erişte,Ev yapımı makarna
Eleman,"Çalışan, personel"
Devrik,Yüklemi sonda olmayan cümle
Tüccar,Kazanç amaçlı alışveriş işi yapan meslek sahibi
Rasathane,"Gök gözlemi yapılan yer, gözlemevi"
Pentatlon,Beş farklı dalda yarışlardan oluşan spor dalı
Polyester,Sentetik bir elyaf
Dispanser,Sağlık ocağı
Balalayka,Bir Türk filmine adını veren Rus çalgısı
Gaziantep,Zeugma Mozaik Müzesi’nin bulunduğu şehir
Avşa adası,Bandırma açıklarındaki turistik bir bölge
Konferans,"Bir kitleye yapılan uzun, bilgilendirici konuşma"
Alaycı kuş,Açlık Oyunları serisinin son kitabı
Idil fırat,GORA filminde anneyi canlandıran oyuncu
Kontrfile,Dananın belkemiğinin yan tarafından çıkarılan et
Bahtı açık,"İşleri iyi giden, şansı bol"
Gündönümü,Gündüzlerin uzamaya veya kısalmaya başladığı zaman
Işıldak,Şarj edilebilir bataryalı kampçı lambası
Tramvay,Şehir içinde kullanılan tren
Sterlin,İngiliz para birimi
Kasiyer,Marketlerde hesap kesen görevli
Süveter,Gömleğin üzerine giyilen kolsuz kazak
Maharet,Bir işteki ustalık ve kabiliyet
Okyanus,Kıtaları birbirinden ayıran büyük deniz
Siyanür,"Doğada çok hızlı yayılan, güçlü bir zehir"
Umberto,"__ Eco, Gülün Adı romanının yazarı"
Ihlamur,Hasta olunca içilen güzel kokulu bir çay
Kremlin,Moskova'nın ünlü sarayı
Pirzola,Etli kaburga dilimi
Büfeci,Yiyecek ve gazete satan küçük dükkan sahibi
Kaymak,Yoğurdun üst kısmında bulunan tabaka
Badana,Kireçle yapılan duvar boyama işi
Müsrif,"Çok para harcayan, tutumsuz"
Alfabe,Yazılı dilin harfler bütünü
Domino,Etkisiyle meşhur taş oyunu
Hörgüç,Devenin sırtındaki çıkıntı
Inegöl,Köftesi ve mobilyacıları ile ünlü Bursa ilçesi
Bakaya,Son yoklamadan sonra askere geç giden kişiler
Fakirhane,Evi mütevazı bir yolla anlatır
Kara haber,Tez duyulduğu söylenen üzücü bilgi
Recaizade,"__ Mahmut Ekrem, Araba Sevdası'nın yazarı"
Kuşpalazı,Difteri de denen hastalık
Hammurabi,Kanunlarıyla meşhur Babil kralı
Eskişehir,Türkiye'nin ilk balmumu müzesinin bulunduğu şehir
Glokom,"Gözün iç basıncının artması hastalığı, karasu"
Hapishane,Uçurtmayı Vurmasınlar filminin geçtiği mekan
Katamaran,Çift tekneli yelkenli
Kemeraltı,İzmir'in Konak ilçesindeki tarihi çarşı
Alüminyum,Pencere yapımında kullanılan hafif metal
Iddianame,Savcılığın suçlamalarını içeren mahkeme metni
Akımölçer,Bir noktadan geçen elektriği gösteren cihaz
Kungfu,"Çin kökenli, savunmaya dayalı bir dövüş sanatı"
Yengeç,"Yan yan yürüyen, iki kıskacı olan hayvan"
Kerata,Ayakkabı çekeceği
Gündüz,Günün aydınlık olan bölümü
Google,Larry Page'in kurduğu arama motoru
Torpil,Savaş gemilerindeki büyük bomba
Tevazu,Alçakgönüllülük
Porsuk,Eskişehir'in içinden geçen çay
Dirhem,Eskiden kullanılan çok küçük bir ağırlık ölçüsü
Galeri,Otomobil alınıp satılan yer
Helsinki,315 adadan oluşan başkent
Periskop,Denizaltının dışarıyı görmeye yarayan optik aleti
Margarin,"Yapay olarak elde edilen katı, donmuş bir yağ"
Son ütücü,Konfeksiyon üretim sürecinde bitirişi yapan kişi
Fondöten,Cillteki kusurları kapatan makyaj malzemesi
Beyhude,"__ Geçti Yıllar, Barış Manço şarkısı"
Asansör,Apartmanda kat değiştirmek için kullanılan araç
Fonetik,Dil biliminin seslerle ilgili alanı
Istakoz,Denizlerde yaşayan eti yenen kabuklu
Ateşkes,Taraftların savaşa bir süreliğine ara vermesi
Taahhüt,Bir şeyin yapılacağına dair verilen garanti
Antikor,Akyuvarların salgıladığı bağışıklık proteini
Kütahya,Çiniciliğin merkezi olan Türkiye şehri
Problem,Matematikte çözülmesi gereken mesele
Satsuma,Uzak Doğu menşeli bir mandalina türü
Varşova,Polonya'nın başkenti
Boyunbağı,Kravat
Dirseklik,Koltukların kol konulan kenarlıkları
Koalisyon,Birden çok partinin kurduğu hükümet
Ergonomik,"Kullanımı kolay, işlevsel"
Baygınlık,Geçici bilinç ve hareket kaybı durumu
Batimetre,Okyanus derinliğini ölçen alet
Deflasyon,Piyasalarda para darlığı
Steınbeck,"Gazap Üzümleri kitabının yazarı, John __"
Olimpiyat,Dört yılda bir yapılan uluslararası spor yarışları
Uçaksavar,Hava saldırılarını engelleyen savunma silahı
Oyunbozan,Mızıkçı
Mutasyon,"Değişim, başkalaşma"
Silüet,Bir nesnenin tek renk olarak beliren görüntüsü
Benzin,Petrolden elde edilen uçucu yakıt
Prometyum,"Simgesi Pm olan, nadir bulunan yapay element"
Samsonıte,Yüksek fiyatlı ürünleri ile ünlü valiz üreticisi
Baharatçı,"Karabiber, kimyon gibi ürünler satan; aktar"
Koroner,Kalbe kan taşıyan iki damara verilen ad
Cheddar,Burger peynirine adını veren İngiliz kasabası
Eğlence,Cümbüş; neşeli vakit öldürgeci
Bilinçli,Yaptığının farkında olan
El kapısı,Yabancı ülke anlamında bir deyiş
Fasıla,Yolculukta verilen kısa mola; kesinti
Tolerans,Aynı dozda kullanılan ilacın etkisinin azalması
Kasatura,Tüfeğin namlusunun ucuna takılan bir tür bıçak
Göreceli,"Kişiden kişiye değişen, net bir tanımı olmayan"
Birmanya,Diğer adı Myanmar olan Asya ülkesi
Hamaliye,Sırtında yük taşıyanlara ödenen ücret
Getiri,Bir işin veya durumun edindirdiği kazanç
Artrit,Eklemlerde oluşan iltihap
Tırsmak,Argoda korkmak
Gerilla,Düzenli orduyla savaşan küçük grup
Coşturmak,Galeyana getirmek
Karakucak,Türkler'in geleneksel güreş sitili
Çözümleme,Bir konuyu yalınlaştırarak yaklaşım geliştirme
Sağıroğlu,"Kınalı Bebek şarkısının sahibi, Demet __"
Kayınbaba,Evlenilen kişinin babası
Zar tutmak,Tavlada hile yaparak istenilen sayıyı elde etmek
Depoculuk,Ambarcılık
Sakınılan,__ göze çöp batar
Farmafobi,İlaçlardan korkma hastalığı
Bağdaşmak,"Başka bir şeyle uyuşmak, uyum sağlamak"
Atık kağıt,Yeniden kullanılmak için toplanan karton
Bevliyeci,Üroloğun az kullanılan ismi
Kontratak,Futbolda ani yapılan karşı hücum girişimi
Aşk ve para,Steven Soderbergh'in Jennifer Lopez'li ünlü filmi
Tanımlama,"Adını koyma, tarif etme"
Ayıbalığı,İri bir deniz memelisi
Bindirmek,Arabayla bir yere ya da araca önden çarpmak
Kenan ışık,Dadı dizisinde Gülben Ergen'le oynayan aktör
Dağ çileği,"Güzel kokulu, kırmızı renkli yabani yemiş"
Çığırtkan,Pazarda müşteri toplamak için bağıran görevli
Yol kesmek,Seyahat halindeki aracı zor kullanarak durdurmak
Iskeletor,He-Man çizgi dizisinin kötü karakteri
Gönderici,Alıcı bilgilerinin karşısına bunun bilgileri gelir
Talepname,İsteklerin yazılı olduğu resmi belge
Nazo gelin,Oyuncu ve şarkıcı Nazan Şoray'a yakıştırılan lakap
Doğrulama,Cep telefonuna gelen onay kodu
Bezdirmek,"Bıktırmak, usandırmak"
Kara liste,"Yasaklı kişi, ürün veya şirketler buraya girer"
Azımsamak,Bir şeyin miktarını yetersiz bulmak
Mogan gölü,Ankara'nın sayfiye alanı haline gelen su örtüsü
Çaktırmak,"Mecazen, fark ettirmek"
Kalıcılık,Geçici olmama durumu
Cumburlop,Havuza atlayınca sudan çıkan sesi tarif eder
Beğenilme,"hoşa gitme, sevilme"
Karaoğlan,Suat Yalaz'ın tarihi çizgi kahramanı
Aerosmıth,Dream On ve Crazy gibi şarkıları olan rock grubu
Refakatçi,Hasta yakını hastanede bu görevi üstlenir
Ekran başı,TV seyircisinin hane içinde konumlandığı yer
Emekçilik,"Ücret karşılığı çalışmak, işçilik"
Pahalıdır,"Ucuzdur vardır illeti, __ vardır hikmeti"
Sırbistan,Başkenti Belgrad olan ülke
Çapsızlık,"Mecazi anlamda, yetersiz ve dar görüşlülük"
Hükmetmek,Bir topluluğu ya da devleti yönetmek
Sürünceme,Boş yere yaşanan gecikme
Özledim,"İzel, Çelik ve Ercan üçlüsünün ilk albümü"
Koçbaşı,Kale kapılarını kırarken kullanılan boynuzlu direk
Yürü git,"""Defol"" öncesi kullanılan sinirli söz öbeği"
Atalira,Cumhuriyet altını
Savunma,Karşı takım atağa kalktığında yapılması gerekir
Bilkent,Türkiye'nin ilk vakıf üniversitesi
Inebolu,Kurtuluş Savaşında İstiklal Madalyası alan ilçe
Sükunet,Sessizlik
Madenci,Yeraltından cevher çıkarma işi yapan kişi
Edepsiz,"Utanması olmayan, toplum kurallarını hiçe sayan"
Bayıldı,"İmam __, zeytinyağlı patlıcan yemeği"
Pereme,Şekli gondola benzeyen bir tür kayık
Muhlis,"Halis __; Saf halde olan, katkısız"
Gülnar,Kişniş üzümüyle tanınan Mersin ilçesi
Berbat,Çok kötü durumda olan
Lekeli,"Adı kötüye çıkmış, hep olumsuzlukla anılan"
Remiks,"Şarkının daha hareketli, disko uyumlu kompozisyonu"
Temsil,"Sahnede oynanan eser, oyun"
Oluşum,Yeryüzü kabuğunda meydana gelen fiziksel yapı
Tecrit,Mahkumu tek kişilik bir odaya transfer etme
Sürahi,Su servis etmekte kullanılan uzunca kap
Ironik,Şaka yollu tezat barındıran
Disket,CD öncesinde kullanılan taşınabilir veri deposu
Püsküllü,"Sonu gelmeyen, tekrar eden bela"
Heparı,"Zeynep Tunuslu ile bir oğlu olan besteci, Uzay __"
Bozcaada,Pek çok kez onarılmış tarihi Çanakkale kalesi
Andropoz,40'lı yaşlarda ortaya çıkan testosteron yetmezliği
Düşünmek,Fikri mesai yapmak; göz önünde bulundurmak
Tertemiz,"Hiçbir pisliği olmayan, pırıl pırıl"
Dadaşlar,"Ersen ve __, 70'lerin ünlü müzik grubu"
Alageyik,En saf türü Antalya'da bulunan boynuzlu hayvan
Lostromo,Gemide tayfa başı olan kişi
Momentum,"Hareket eden bir cisimin hızı, kütle çarpı hız"
Fırdöndü,Genelde yılbaşında oynanan bir şans oyunu aracı
Eğitimli,Belirli bir alanda bilgi ve beceri sahibi
Ekonomik,"Makul fiyatlı, ucuz, bütçeyi zorlamayan"
Kar zarar,"__ Tablosu, bir dönemlik ticari faaliyet sonuçları"
Gümüşlük,Tavşan Adası'yla bilinen Bodrum mahallesi
