answer,kategori,question
Apansız,,Beklenmedik anda
Otuz iki,,Bir satranç maçındaki toplam taş sayısı
Kızören,,Konya'da yer alan karstik göl
Andorra,,Fransa ve İspanya arasındaki küçük Avrupa ülkesi
Albastı,,Lohusalıkta yaşanan ateşli hastalık
Manasız,,Herhangi bir anlam içermeyen
Sarıkavak,,İstanbul'un Şile ilçesinde bulunan tarihi kale
Gir kanıma,,Harun Kolçak'ın bekarlığa veda özlemli şarkısı
Yol ayrımı,,Yavuz Turgul'un 2017 yapımı Şener Şen'li filmi
Avukatlık,,Müvekkil adına mahkemede savunma yapan meslek dalı
Bıçaklama,,"Birini, kesici bir aletle yaralama"
Erol evgin,,2016 çıkışlı Altın Düetler albümünün sahibi
Sansasyon,,"İlgi uyandıran, heyecan verici hadise"
Diriltmek,,Canlandırmak; canlanmasını sağlamak
Septisemi,,Kan zehirlenmesi hastalığı
Beslenmek,,"Yemek, içmek; gıda almak"
Ortahisar,,Trabzon'un en kalabalık ilçesi
Aberasyon,,Bir merceğin odaklanma özelliklerindeki yanlışlık
Rubik küpü,,Çok satılan 3 boyutlu mekanik bulmaca oyuncağı
Berkelyum,,Simgesi Bk olan yapay bir element
Ebedi koca,,Ana karakteri Trusotski olan Dostoyevski romanı
Kısa devre,,Elektronik teçhizatı bozan akım anomalisi
Sıkıntı,,Kafaya takılan mesele
Ilişmek,,Koltuğun kenarına emaneten oturmak
Kalıtım,,"Soyaçekim, ırsiyet"
Göztepe,,İstanbul Oyuncak Müzesi'nin bulunduğu semt
Dalaman,,Büyük bir havalimanı olan Muğla ilçesi
Serenat,,Geceleyin pencere altında sevgiliye söylenen şarkı
Ekersen,,Ne __ onu biçersin
General,,Albaydan daha yüksek askeri rütbe
Darbeli,,Beton delmede kullanılan matkap tipi
Bloknot,,Yaprakları kolayca yırtılabilen defter
Takipçi,,Instagram tipi abone
Akrilik,,"Tuval ya da kağıt gerektirmeyen, su bazlı boya"
Kamuoyu,,"Halkın fikri, umumi görüş"
Deneyim,,İş yaşamı boyunca para dışında kazanılan şey
Feragat,,Dava hakkından kendi isteğiyle vazgeçme
Gölyazı,,Uluabat Gölü'nde bir yarımadada bulunan Bursa köyü
Bedelli,,Para ödeyerek kısaltılan askerlik
Boşluğu,,"Apartman __, bazı pencerelerin baktığı kör alan"
Kıyamet,,"Biri yerken diğeri bakarsa, kopacağı söylenen şey"
Sim kart,,Mobil hat sahiplerinin bilgileri bu çipte saklanır
Arnavut,,Ciğere düşkünlüğü meşhur olan Balkan halkı
Özellik,,Bir şeyin kendine has niteliklerinden her biri
Kadının,,"Duygu Asena romanı, __ Adı Yok"
Idefiks,,Hopdediks'in köpeği
Malumat,,Bir konu hakkında sahip olunan bilgi
Elastin,,Fibroblast hücrelerinin ürettiği yapısal protein
Eksizyon,,Cerrahide bir dokunun ya da organın çıkarılması
Dakhund,,Almanya'da porsuk avı için yetiştirilen av köpeği
Manganez,,Atom numarası 25 olan element
Zihniyet,,Bir konu hakkında insanlardaki düşünme şekli
Defineci,,Gömü bulmak amacıyla kazı yapan kimse
Nur tatar,,Dünya tekvando şampiyonu olan Türk kadın sporcu
Lenfosit,,Kanda ve kemik iliğinde bulunan bir akyuvar türü
Megastar,,Tarkan'a yakıştırılan lakap
Ilerleme,,Aşama kaydetme
Döke saça,,Etrafı kirleterek yemek yemeyi tarif eder
Yardımcı,,Yaver
Aya irini,,İstanbul'da Topkapı Saray'ında yer alan müze
Farazi,,Bir varsayıma dayanan
Dır dır,,"Bezdirecek derecede söylenmek, __ etmek"
Burçak,,Çok küçük taneli bir baklagil
Duyuru,,Anons
Eltopu,,Hentbol sporunun Türkçe karşılığı
Gaddar,,"Zalim, merhametsiz"
Fetret,,İki padişah arasında padişahsız geçen süre
Düziçi,,Haruniye Kaplıcaları'nın bulunduğu Osmaniye ilçesi
Günöte,,Dünyanın yörüngesinin güneşe en uzak olduğu nokta
Kaba et,,Kuyruk sokumu bölgesinin nezaketsiz tarifi
Dansör,,Mesleği dans etmek olan erkek
Propan,,LPG içinde yer alan bütan dışındaki gaz
Boşvermek,,"Umursamaktan, önemsemekten vazgeçmek"
Aşka gelme,,Eyleme geçmek için şevk ve heyecana kapılma
Oyuncakçı,,Çocukların en sevdiği esnaf
Kestirmek,,Uzun olmayan bir süre boyunca uyumak
Yeni türkü,,Derya Köroğlu'nun kurucusu olduğu ünlü müzik grubu
Ihtiraslı,,"Aşırı tutkulu, hırslı"
Kalp krizi,,Sol kolun uyuşmasıyla akla gelen yürek sektesi
Teletekst,,TV'de etkileşimli işlem yapabilme teknolojisi
Metalurji,,Maden bilimi
Termosfer,,İyonosferin altında yer alan atmosfer tabakası
Ithafname,,"Yazarın, kitabı sunduğu kişiye yazdığı yazı"
Porto riko,,Başkenti San Juan olan Latin Amerika ülkesi
Cimşit bey,,Elazığ'da yer alan tarihi hamam
Baş eğmek,,"Direnmeyi bırakıp, düşmanın emirlerini kabul etmek"
Rafineri,,Petrol bu tesiste arıtılır
Game over,,Oyunda kaybedince ekranda çıkan İngilizce yazı
Laklakla,,Leyleğin ömrü __ geçer
Terimler,,Bir konuyu anlatan ifadeler ve kavramlar
Kolaylık,,"Elveriş, imkan"
Disleksi,,Sık görülen bir öğrenme bozukluğu
Çöpçülük,,Sokakları temizleme mesleği
Kızıldağ,,Isparta'nın Şarkikaraağaç ilçesindeki milli park
Solüsyon,,En az iki maddenin oluşturduğu homojen karışım
Ortalama,,Ne az ne çok; vasat
Batiskaf,,Derin sularda dalış yapmak için kullanılan alet
Son metro,,Truffaut'un 10 Cesar ödüllü 1980 yapımı filmi
Değnekçi,,Yasadışı sokak otoparkçısı
Ücretsiz,,Karşılığında ödeme istenmeyen
Silisyum,,"Simgesi Si olan element, devrelerde kullanılır"
Ertuğrul,,I. Osman'ın babası
Ümit elçi,,Altın Portakal ödüllü Böcek filminin yönetmeni
Kara veba,,14. yüzyılda Avrupa'yı kırıp geçiren hastalık
Saksafon,,Simpson Ailesi'nde Lisa'nın çaldığı müzik aleti
Yumuşak g,,Türk alfabesinin 9. harfi
Sezgisel,,Bilgi veya deneme gerektirmeden kavranabilen
Şerbetli,,"Baklava, tulumba gibi tatlıların genel adı"
Jartiyer,,Dizüstü çorapları tutmaya yarayan lastik bağ
Taş baskı,,Bir tür resim çoğaltma tekniği
Sekreter,,Yönetici asistanı
Referans,,Daha önceki iş yerinden alınan tavsiye mektubu
Med cezir,,Adını bir doğa olayından alan Levent Yüksel albümü
Doğalgaz,,Faturası cep yakan ısınma yöntemi
Burjuva,,Kentsoylu; İşveren sınıfında yer alan zengin kişi
Kaşalot,,Akdenizde yaygın olarak bulunan balina türü
Seramik,,Çamura form verip pişirerek üretilir
Yoklama,,Öğretmen ders başında yapar
Haziran,,Babalar Günü'nün kutlandığı ay
Rivayet,,"Kaynağı belli olmayan, başkasından duyulan"
Redhack,,Türk internet korsanlarının oluşturduğu örgüt
Difteri,,Halk arasında kuşpalazı olarak bilinen hastalık
Imhotep,,Mumya filminde Arnold Vosloo'nun oynadığı rol
Mayalar,,2012'nin Dünya'nın sonu olacağına inanan uygarlık
Müge boz,,Melekler Korusun'da Çiğdem'i oynayan aktris
Macbeth,,Jo Nesbo’nun tekrar yazdığı Shakespeare trajedisi
Bisküvi,,Ülker'in pötibör olanı bu atıştırmalığa örnektir
Antalya,,Akdeniz Bölgesi'nin en büyük yüzölçümlü şehri
Olijist,,"Kayaçlarda bulunan, kızıl renkli demir oksidi"
Yansıma,,Bir şeyin aynada oluşan görüntüsü
Geçkin,,Yaşlanmaya başlamış
Sarıca,,İsmini bir renkten alan yaban arısı
Katman,,Tabaka
Divane,,"Delirmiş, aklını kaçırmış"
Kumral,,Kestane rengi saçları olan
Merkez,,Polis karakolu
Ordino,,Bir malın gümrükten çekilmesi için verilen emir
Bremen,,"Grimm Kardeşler'in ünlü masalı, __ Mızıkacıları"
Taksim,,"Paylaştırma, bölüştürme"
Hakkak,,"Oymacı, oyma işi yapan sanatçı"
Çapkın,,"Bir ilişkiden diğerine atlayan, hovarda"
Teorik,,Henüz pratiğe dökülmemiş bilgi
Ketçap,,Mayonezin masa arkadaşı
Tivoli,,Kopenhag'ın bahçeleri ile ünlü eğlence mekanı
Kafiye,,Şiir satırlarının son hecelerindeki benzerlik
Çılbır,,Yoğurtlu yumurta
Komite,,Bir kurumun üyelerinden oluşturulan alt kurul
Firari,,Hapishaneden kaçan kişi; kaçak
Zindan,,Yer altında mahkumların tutulduğu oda veya hücre
Pusula,,M.S. 1. yüzyılda Çin'de icat edilen buluş
Pardon,,2004 yapımı Ferhan Şensoy filmi
Ebruli,,Üzerinde değişik renkler bulunan kumaş
Fibrin,,Kanda pıhtılaşma sonucu oluşan protein
Nahiye,,Bucak
Reform,,Avrupa'da Rönesans ile birlikte başlayan yenilenme
Kanama,,Damar içindeki kanın dışarı çıkması
Poster,,Odanın duvarına asılan büyük boy ünlü resmi
Melodi,,"Ezgi, ses dizesi"
Karnak,,Antik Mısır'ın en ünlü iki tapınağından biri
Bonsai,,Minyatür ağaç
Cıvata,,Ucuna somun takılan kalın başlı vida
Samimi,,"Yürekten, içtenlikle davranan"
Misina,,Balıkçılıkta kullanılan naylon ip
Derhal,,"Hemen, çabucak anlamındaki kelime"
Şandel,,Futbolda topu kalecinin üzerinden aşırtma
Teknik,,ODTÜ ve İTÜ'deki T harfi bunu simgeler
Hünkar,,Osmanlı hükümdarlarına verilen bir unvan
Avusturya,,Mozart'ın memleketi olan ülke
Ukraynaca,,Kiev'de konuşulan dil
Katamaran,,Birbirine bağlanmış iki tekneden oluşan taşıt
Bluetooth,,Kısa mesafe radyo frekansı teknolojisi
Tabanları,,__ yağlamak; Arkasına bakmadan kaçmak
Ilk dördün,,Ayın büyüdüğü 14 günlük zaman dilimi
Avusturya,,Başkenti Viyana olan ülke
Rengeyiği,,Soğuk iklimlerde yaşayan çatal boynuzlu memeli
Ezik büzük,,Eğri büğrü anlamında bir ikileme
Nur sultan,,Kazakistan'ın başkenti Astana'nın yeni adı
Sincap,,Ağaçta yaşayan ve meşe palamutu yiyen kemirgen
Ukraynaca,,Başkenti Kiev olan ülkenin resmi dili
Tundra,,Yazı çok kısa süren kutup iklimi
Kamyon,,Ağır yüklerin taşınmasında kullanılan kara taşıtı
Europa,,Bir kıtaya adını veren mitolojik prenses
Komite,,Bir konuda inceleme yapmak için kurulan ekip
Meşale,,Olimpiyat ateşi bunun üzerinde yanar
Pergel,,Daire çizme gereci
Lateks,,Bazı bitkilerin süt görünümlü öz suyu
Kösele,,"Ayakkabı, çanta yapımında kullanılan hayvan derisi"
Kaşağı,,Atların tüylerini taramaya yarayan tarak
Geçici,,Kalıcı olmayan
Carrey,,"Maske filminin yıldızı, Jim __"
Demlik,,Çay yaparken kullanılan üstü kapaklı nesne
Dipçik,,Tüfeğin omuza yaslanan bölümü
Bankiz,,Kutup denizlerinde oluşan buz kütlesi
Alahan,,Mersin'in Mut ilçesinde yer alan tarihi manastır
Lüle taşı,,Pipo yapımında kullanılan bir maden
Sekstant,,Gök cisimlerine göre koordinat belirleyen araç
Survıvor,,"Yarışmacıların adada yaşayıp, yarıştığı program"
Lüle taşı,,"Pipo yapımında kullanılan, Eskişehir'e özgü maden"
Tez canlı,,İşi çabucak çözülsün ister
Sabahlık,,Uyanınca giyilen üstlük
Lejyoner,,Paralı askerlere verilen genel ad
Morötesi,,"Kısa dalga boylu, gözle görülmeyen ışık"
Berkecan,,Nükteleşmiş kolejli erkek ismi
Kaşınmak,,"Züğürt olup düşünmektense, uyuz olup __ yeğdir"
Gondolcu,,Venedik'e özgü su taşıtının kullanıcısı
Rıza baba,,Arka Sokaklar'daki ekip liderinin lakabı
Teşkilat,,Aynı misyon için bir araya gelen kişilerce kurulur
Ahmet koç,,Paradoks albümünün sahibi ünlü bağlama virtüözü
Iskambil,,Bir destede 52 tane olan oyun kağıdı
Patoloji,,Hastalık bilimi
Yusufçuk,,"Helikopter böceği olarak bilinen, uçan bir böcek"
Britanya,,"İngiltere, İskoçya ve Galler'i kapsayan ada"
Uçan halı,,Alaaddin'in özel taşıtı
Hoşgörü,,Her şeyi anlayış ile karşılama durumu
Wındows,,Microsoft'un işletim sistemlerinin adı
Anlaşma,,Dilin taraflar arasında sağladığı temel şey
Prenses,,Hükümdar kızı
Dinamit,,Nitrogliserin ile yapılan patlayıcı
Tempura,,İçi balık ve sebzeyle doldurulmuş hamur kızartma
Gözaltı,,Şüpheli birinin polis tarafından alıkonulması
Kontrat,,Bir iş için imzalanan sözleşme
Türkmen,,"Oğuz boyundan, Anadolu'ya yerleşenlere verilen ad"
Diyafon,,Kapı zillerine bağlı olan konuşma sistemi
Hapşırmak,,Ağız ve burundan gürültülü ve ani soluk boşaltmak
Monako,,Avrupa'nın Akdeniz kıyısındaki şehir devleti
Solist,,Bir eseri tek başına çalan ya da söyleyen kişi
Beşamel,,Tavuk ve lazanya gibi yemeklere eklenen sütlü sos
Antakya,,Sokak aydınlatmasının ilk defa kullanıldığı şehir
Gambiya,,Başkenti Banjul olan Afrika ülkesi
Merinos,,Tüylerinden yün yapılan koyun türü
Fermuar,,Kıyafetlerin açılıp kapanmasını sağlayan düzenek
Saçkıran,,Kafa dahil tüm tüyleri döken bir deri hastalığı
Hicvetmek,,Birini alay ederek yermek
Yıldızı,,"Deniz __, adını bir uzay cisminden alır"
Heybetli,,İri yapısından dolayı saygı uyandıran kimse
Çukurova,,Eski adı Kilikya olan Anadolu bölgesi
Hong kong,,1997 yılında Çin'e bağlanan İngiliz sömürgesi
Mikroskop,,Mercek yardımıyla küçük nesneleri gösteren alet
Traktör,,Yük taşımakta kullanılan motorlu iş makinesi
Wolverine,,Adamentium'dan iskelete sahip süper kahraman
Komando,,Özel eğitim almış çok savaşçı asker
Doğumhane,,Bebeklerin dünyaya geldiği hastane bölümü
Yoğurt,,Su katılınca ayran olan süt ürünü
Façuna,,Halatların çok sürtünecek yerlerine yapılan sargı
Yağmur,,Bulutlardan su damlaları düşmesi
Işınım,,Radyasyon
Saadet,,"Sevinçli olma durumu, mutluluk"
Okullu,,"Şimdi __ olduk, sınıfları doldurduk!"
Rüçhan,,"Hukukta, öncelik ya da imtiyaz hakkı"
Buzluk,,Derin dondurucu
Ecnebi,,"Yabancı, başka bir ülkenin vatandaşı"
Ilyada,,Homeros'un Truva savaşını anlattığı şiir
Normal,,"Doğal, beklenen şekilde, olağan"
Ayakta,,Hastaneye yatmadan yapılan tedavi türü
Bilanço,,Varlık ve yükümlülük denge tablosu
Tarhana,,Bir kış çorbası
Süpürge,,Cadıların kullandığı ulaşım aracı
Vertigo,,Vücudun denge sistemi kaynaklı baş dönmesi
Ödemeli,,Kontörü bitenler atarlar
Dizüstü,,"Taşınabilir bilgisayar, laptop"
Orkinos,,Ton balığı
Hurgada,,Mısır'daki turistik sahil şehri
Rölanti,,Motorlu taşıtların durdukları yerde çalışması
Niğbolu,,Bayezid'in Yıldırım lakabını aldığı savaş
Benazir,,"__ Butto, Pakistan'ın ilk kadın başbakanı"
Sakarin,,Şeker yerine kullanılan tatlandırıcı madde
Krubera,,"Gürcistan'da bulunan, dünyanın en derin mağarası"
Tezkere,,Askerliğin tamamlandığını gösterir belge
Geyikli,,Eyvah Eyvah film serisinin çekildiği kasaba
Ekstrem,,Adrenalin salgılatan spor dalları
Çekecek,,Kerata
Varyete,,Farklı sanat türlerinden oluşan sahne gösterisi
Zurnacı,,Düğünlerde davulcuya eşlik eden çalgıcı
Metafor,,Bir kelimeyi gerçek anlamı dışında kullanmak
Nicole,,"Kırmızı Değirmen'in başrol oyuncusu, __ Kidman"
Ödemeli,,Telefonda para kalmayınca yapılan bir arama türü
Baraka,,Akraba kelimesinin anagramı
Örtüsü,,"Yatak __, karyola süsü"
Montör,,Elektrik tesisatının kurulumunu yapan kişi
Düzgün,,Eğriliği ya da girintisi olmayan
Kvanza,,Angola'nın para birimi
Kobalt,,Bataryaların hammaddesi olan element
Mezura,,Terzilikte ölçü alma şeridi
Vistül,,Polonya'nın en uzun nehri
Albino,,Renk pigmenti yokluğu nedeniyle beyaz tenli kişi
Kostüm,,Tiyatroda oyuna göre seçilen kıyafetlerin tümü
Farsça,,İran'da konuşulan dil
Çedene,,Kendir olarak da bilinen tohum
Riyazi,,"Matematikle ilgili olan, matematiksel"
Inegöl,,Köftesi ve mobilyacıları ile ünlü Bursa ilçesi
Samsun,,Atatürk'ün Kurtuluş Savaşı'nı başlattığı şehir
Götürü,,Fiyatın toptan belirlendiği usul
Ganyan,,At yarışları için yapılan bahis bileti
Puşkin,,Yüzbaşının Kızı adlı eseri yazan Rus yazar
Elon musk,,Tesla otomobillerinin yaratıcısı olan işadamı
Libretto,,Operada sözler yazan küçük el kitabı (İta.)
Öğretmen,,Okulda öğrencileri eğiten görevli
Karnı tok,,__ sırtı pek; ekonomik durumu yerinde olan
Elon musk,,Tesla ve SpaceX denince akla gelen girişimci
Kaymakam,,Bir ilçedeki en yetkili kamu görevlisi
Bici bici,,"Adana’ya özgü, soğuk yenen bir tatlı türü"
Singapur,,Sakız çiğnemenin yasak olduğu Asya ülkesi
Karnivor,,"Etle beslenen canlı, etobur"
Rövaşata,,Futbolda ters takla atarak topa vurmak
Uyarlama,,Başka bir esere dayandırılarak oluşmuş eser
Helsinki,,Finlandiya'nın başkenti
Öğretmen,,Okulda derslere giren eğitimci
Nomofobi,,Telefonsuz kalma korkusu
Münferit,,"Kendi başına, bireysel"
Libretto,,Opera sözlerinin yazdığı küçük kitap
Tralleis,,Aydın'ın kuzeyindeki büyük antik kent
Whitmore,,Hayat Ağacı dizisindeki Sam'in soyadı
Minyatür,,Osmanlılar'da bir tür resim sanatı
Armonika,,Mızıka olarak da bilinen küçük üflemeli çalgı
Saltanat,,1 Kasım 1922’de kaldırılan hükümdarlık düzeni
Horlamak,,Uyku sırasında rahatsız edici sesler çıkarmak
Çekirdek,,Parkta otururken tüketilen kuruyemiş
Minyatür,,Eski el yazması kitaplardaki küçük boyutlu resim
Animatör,,Otellerde eğlenceden sorumlu kişi
Depozito,,Satın alınan içeceğin şişesi için verilen teminat
Bijuteri,,Gümüş ya da daha değersiz takılar satan dükkan
Ethernet,,David Boggs'un icat ettiği yerel ağ teknolojisi
Mütareke,,Savaşın karşılıklı olarak durdurulması kararı
Pejmürde,,"Kıyafeti eskimiş, yırtılmış, perişan halde olan"
Eşelemek,,Kumu ya da toprağı hafifçe kazmak
Ortopedi,,Kas ve kemik sistemlerini inceleyen tıp dalı
Ölüdeniz,,Fethiye'nin ünlü sahili
Gol kralı,,Kemal Sunal'ın futbolcuyu canlandırdığı film
Horlamak,,Uykuda gürültülü nefes alıp vermek
Uğultulu,,Emily Bronte'nin tepelerinin sesi
Traktör,,Tarla sürmek için kullanılan motorlu iş makinesi
Antalya,,Türkiye'nin en fazla otel barındıran şehri
Boğazdan,,Can __ gelir
Sadakat,,"İlişkiyi ayakta tutan, güvene dayalı bağlılık"
Menajer,,Bir sporcu ya da sanatçı adına anlaşma yapan kişi
Adaptör,,220 voltu 12 volta çeviren cihaz
Ramazan,,"Tatar __, Kadir İnanır'ın hayat verdiği kahraman"
Oburiks,,Asteriks'in şişman arkadaşı
Önemsiz,,"Değersiz, ehemmiyetsiz"
Fikstür,,Maçların zamanını gösteren çizelge
Katliam,,Çok sayıda insanı öldürme
Ittifak,,"İki devlet arasındaki anlaşma, güç birliği"
Ekvator,,Dünyayı iki eşit parçaya bölen hayali çember
Kabahat,,Kusurlu ya da uygunsuz davranış
Uzlaşma,,Sorun yaşanan konuda tarafların anlaşmaya varması
Lumbago,,Ani kasılma nedeniyle bel bölgesinde oluşan ağrı
Ortoptist,,Şaşılığın tedavisi ile uğraşan uzman
Fotometre,,Bir ortamdaki ışığı ölçen cihaz; ışıkölçer
Güney kore,,Türkiye'nin asker gönderdiği ilk ülke
Eskişehir,,Anadolu Üniversitesi'nin bulunduğu şehir
Yankesici,,Bir kişinin çantasından zorla bir şey alan kişi
Sofistike,,"Basit olmayan, karmaşık"
Inek şaban,,Kemal Sunal'ın lakabı
Partisyon,,Orkestra eserinde bölümleri gösteren nota defteri
Güney kore,,Gangnam Style şarkısı bu ülkeden çıkmıştır
Ağaç olmak,,Bir yerde çok beklemek anlamındaki deyim
Yankesici,,Bir kişinin cebinden gizlice bir şey çalan kişi
Akreditif,,Dış ticarette kredi mektubuna dayalı ödeme yöntemi
Görevimiz,,"90'ların yarışma programı, __ Tehlike"
Badminton,,Tüylü bir topla oynanan tenis benzeri bir oyun
Buzuki,,"Yunan müziğine özgü, telli bir çalgı"
Şanlıurfa,,Balıklıgöl bu ili serinletir
Telesiyej,,Az kişi alabilen bir teleferik türü
Karasinek,,"Siyah renkli, uçan böcek"
Ton balığı,,Dardanel markası ile anılan yiyecek
Düşman,,Savaşan taraflardan her birine göre diğeri
Hortum,,Fil bedenindeki işlevsel uzantı
Falaka,,Ayak tabanlarına sopa ile vurularak uygulanan ceza
Buzuki,,Orhan Osman'ın lakabı da olan çalgısı
Sahlep,,Orkideden elde edilen bir içecek
Tırtıl,,Bir böceğin kelebek olmadan önceki hali
Markaj,,Rakip takım oyuncusuna engel olmaya çalışma
Angela,,"Almanya’nın ilk kadın başbakanı, __ Merkel"
Kodeks,,Gıda üretimindeki izinli maddelerin resmi listesi
Tırnak,,Parmakların oje sürülen kısmı
Şövale,,Ressamların tuvallerini koydukları sehpa
Lityum,,Simgesi Li olan element
Icazet,,"Eski dilde onay, izin"
Falaka,,Ayak tabanlarına sopa ile vurulan eski ceza türü
Turunç,,Portakala benzeyen bir meyve
Ed wood,,Johnny Depp'in yönetmen rolünde olduğu film
Mafsal,,Cansız eklem
Mühlet,,İşin yapılması için verilen süre
Rehber,,Turist gezdiren görevli
Trakya,,Türkiye'nin Avrupa'daki parçası
Piraye,,Nazım Hikmet'in mektuplar yazdığı kadın
Imparator,,Birçok ülkeyi yöneten kişiye verilen ünvan
Starcraft,,Uzayda üç ırk arasında geçen strateji oyunu
Ozonosfer,,UV ışınlarını engelleyen gaz tabakası
Adnan veli,,İstanbul Batakhaneleri'nin yazarı olan gazeteci
Karasinek,,Ellerini ovuşturuyormuş gibi görünen siyah böcek
Bunaltıcı,,"Nemli, sıcak ve insanı yoran hava"
Devri alem,,"Dünyanın etrafını dolaşma, dünya turu"
Akşamüstü,,Güneşin batmaya başladığı vakit
Cermenler,,Almanya'da yaşamış olan eski topluluk
Becerikli,,"Elinden her iş gelen, eli işe yatkın"
Ton balığı,,Daha çok konserve olarak satılan deniz ürünü
Yumurtada,,Cins horoz __ öter
Makineli,,"__ Tüfek, sürekli kurşun atabilen silah"
Çikolata,,"Acı, sütlü, beyaz gibi türleri olan tatlı yiyecek"
Şifonyer,,Yatak odasında kullanılan çekmeceli dolap
Kasvetli,,"Charles Dickens'ın eseri, __ Ev"
Leman sam,,Kıyamam Sana adlı şarkıyı söyleyen kadın şarkıcı
Epilepsi,,Sara
Katmandu,,Nepal'in başkenti
Çukurova,,Adana'da 1973'te kurulan devlet üniversitesi
Öteduyum,,Telepati
Pehlivan,,Yağlı güreş yapan sporculara verilen isim
Finalist,,Bir yarışmada son tura kalan kişi
Etekleri,,__ zil çalmak; Aşırı sevinç ve heyecan duymak
Muvazzaf,,Askerliği meslek olarak icra eden kişi
Herakles,,"Diğer adı Herkül olan, Zeus'un oğlu"
Müşahede,,Hastanın gözlem altında tutulması
Kadastro,,Arazilerin devlet eliyle planlanması işi
Zanzibar,,Tanzanya'nın turistik bir adası
Çikolata,,Bitter ve sütlü gibi türleri olan tatlı yiyecek
Tahakküm,,"Zorbalık yapma, baskı kurma"
Heybetli,,Boyu posundan dolayı saygı uyandıran kimse
Leman sam,,İlla adlı şarkıyı söyleyen kadın şarkıcı
Devrik,,Öğeleri yanlış sıralanarak kurulmuş cümle
Yumurcak,,Filiz Akın'ın oğluyla beraber oynadığı film
Oliver,,"__ Twist, Charles Dickens'ın en bilinen eseri"
Can can,,Hareketli bir Fransız dansı
Kambur,,Bel kemiğindeki eğrilik nedeniyle oluşan sorun
Yüz göz,,"Fazla ve gereksizce samimileşmek, __ olmak"
Ayakta,,__ tedavi; hastaneye yatmadan yapılan tedavi
Tespih,,Oyalanmak için de kullanılan boncuk dizisi
Sandal,,Kürekle ilerleyen küçük tekne
Flekso,,Karton ve mukavva üzerine yapılan mürekkep baskı
Devrik,,Öğeleri olağanın dışında sıralanmış cümle
Zodyak,,Uzayda burçların oluşturduğu kuşak
Kriket,,Sopa ve topla oynanan İngiliz sporu
Yorgan,,Özellikle kışın uyurken örtülen kalın örtü
Kambur,,Omurga bozukluğu nedeniyle öne doğru eğik duran
Üveyik,,Güvercingillerden göçmen bir kuş
Öngörü,,Bir işte olabilecekleri kestirme
Ressam,,Gördüğünü veya hayalini tuvale yansıtan sanatçı
Ayısıt,,Türk mitolojisinde güzelliğin sembolü olan ruh
Sümela,,Maçka'da dağın yamacına inşa edilmiş olan manastır
Grease,,John Travolta'yı üne kavuşturan müzikal film
